,smiles,sequence,interactions
0,2,0,0
1,6,5,1
2,11,10,0
3,14,13,0
4,15,14,0
5,16,15,1
6,17,16,1
7,19,18,0
8,20,19,1
9,23,22,1
10,28,27,1
11,31,30,1
12,32,31,1
13,33,32,0
14,36,34,1
15,41,39,1
16,43,40,1
17,44,41,0
18,46,43,0
19,47,44,0
20,48,45,0
21,49,5,0
22,50,39,1
23,51,40,1
24,58,52,0
25,59,53,1
26,63,57,0
27,64,47,1
28,72,63,1
29,74,52,0
30,75,65,1
31,80,70,0
32,85,72,0
33,86,39,1
34,87,73,1
35,94,78,1
36,97,81,1
37,100,82,1
38,108,0,0
39,110,72,1
40,111,34,0
41,112,40,1
42,116,91,1
43,122,95,1
44,123,0,0
45,126,98,1
46,127,99,1
47,128,39,1
48,133,101,0
49,135,103,1
50,137,104,1
51,138,105,1
52,139,106,1
53,143,39,1
54,148,40,1
55,149,18,0
56,154,50,1
57,156,5,0
58,157,115,0
59,158,50,0
60,164,39,1
61,165,82,1
62,167,121,1
63,169,123,1
64,174,125,0
65,175,52,0
66,176,126,1
67,177,22,1
68,178,127,0
69,180,129,1
70,181,130,1
71,182,106,1
72,186,131,0
73,187,132,0
74,189,135,1
75,193,135,1
76,200,141,0
77,203,13,0
78,204,17,0
79,206,103,1
80,207,39,1
81,211,39,1
82,214,149,0
83,215,72,1
84,218,152,0
85,219,153,1
86,221,73,0
87,222,155,0
88,223,156,0
89,226,158,1
90,227,159,0
91,228,160,1
92,233,164,1
93,234,48,0
94,235,165,1
95,243,173,1
96,246,175,0
97,247,125,1
98,248,176,1
99,256,100,1
100,257,180,1
101,259,52,0
102,260,181,0
103,264,19,0
104,265,183,1
105,266,184,1
106,268,186,0
107,271,17,1
108,279,193,1
109,280,194,1
110,283,165,1
111,284,195,1
112,285,196,0
113,295,203,0
114,302,32,0
115,304,208,0
116,307,82,1
117,309,115,0
118,310,210,1
119,311,211,1
120,313,65,0
121,319,214,1
122,324,41,0
123,329,214,0
124,336,72,0
125,337,32,0
126,341,18,0
127,345,32,0
128,347,189,1
129,352,228,1
130,361,149,0
131,363,101,1
132,364,231,0
133,366,43,1
134,367,232,1
135,369,235,0
136,371,158,0
137,375,0,0
138,379,240,1
139,242,241,1
140,384,242,0
141,385,243,1
142,387,111,0
143,389,91,0
144,390,32,0
145,392,41,0
146,393,246,0
147,394,176,1
148,397,247,1
149,401,39,0
150,403,100,1
151,412,252,1
152,413,86,0
153,417,255,0
154,421,257,0
