,smiles,sequence,interactions
0,4,4,0
1,6,6,0
2,9,9,0
3,10,10,1
4,11,11,1
5,12,12,0
6,13,13,1
7,15,15,0
8,16,16,0
9,19,19,0
10,20,20,0
11,21,21,0
12,22,22,0
13,24,24,1
14,25,25,0
15,28,28,0
16,30,30,0
17,31,31,0
18,34,34,0
19,38,38,1
20,39,39,0
21,40,40,0
22,44,14,1
23,45,44,0
24,46,45,0
25,47,22,0
26,48,46,0
27,49,14,1
28,50,47,0
29,51,48,1
30,52,49,1
31,53,50,0
32,55,52,1
33,56,53,0
34,15,54,1
35,57,55,1
36,59,57,0
37,60,58,1
38,64,61,0
39,67,64,1
40,69,66,0
41,73,70,0
42,75,69,1
43,76,29,1
44,77,72,1
45,78,73,1
46,81,75,0
47,82,76,1
48,83,77,1
49,85,79,0
50,87,81,0
51,89,83,0
52,90,84,1
53,92,86,1
54,96,29,1
55,98,90,1
56,101,14,1
57,102,28,0
58,103,93,0
59,106,96,1
60,109,99,1
61,112,51,1
62,44,72,1
63,107,105,1
64,116,108,0
65,117,109,0
66,120,112,1
67,122,115,1
68,124,77,1
69,126,118,1
70,9,119,0
71,128,121,0
72,129,122,1
73,131,124,0
74,132,125,1
75,133,126,0
76,134,127,0
77,135,128,1
78,136,129,0
79,137,130,1
80,138,77,1
81,139,131,1
82,140,132,1
83,145,127,0
84,147,137,0
85,148,138,1
86,149,139,0
87,151,94,1
88,152,141,1
89,109,142,1
90,154,144,1
91,158,77,1
92,161,150,0
93,164,152,1
94,165,153,0
95,166,138,1
96,167,154,0
97,168,155,0
98,169,156,0
99,171,77,1
100,174,161,0
101,175,162,0
102,177,164,1
103,178,165,0
104,179,166,1
105,182,167,1
106,183,168,1
107,184,139,1
108,186,164,1
109,193,77,1
110,196,174,0
111,206,181,0
112,207,182,0
113,209,184,1
114,211,185,1
115,212,186,1
116,213,187,0
117,215,189,1
118,218,192,1
119,219,193,0
120,221,195,1
121,223,197,0
122,224,198,0
123,226,200,0
124,230,202,0
125,231,77,1
126,232,203,0
127,233,23,0
128,234,204,1
129,235,77,1
130,236,205,1
131,237,206,1
132,240,77,1
133,241,209,0
134,242,210,0
135,245,212,0
136,246,77,1
137,247,213,0
138,248,214,1
139,251,217,1
140,252,218,1
141,253,219,0
142,254,220,1
143,255,221,0
144,256,222,1
145,258,224,1
146,259,111,1
147,260,69,1
148,263,228,1
149,264,229,0
150,266,231,0
151,269,234,0
152,270,235,0
153,271,236,1
154,273,240,1
155,135,14,1
156,281,248,1
157,284,94,1
158,290,252,0
159,291,253,1
160,294,256,0
161,295,257,0
162,298,259,0
163,299,261,1
164,303,111,1
165,304,49,0
166,184,266,1
167,309,27,1
168,310,268,1
169,311,253,1
170,314,270,0
171,315,271,0
172,318,273,1
173,320,274,0
174,329,253,1
175,330,283,0
176,333,287,0
177,334,273,1
178,335,118,1
179,337,253,1
180,338,288,0
181,340,290,1
182,68,294,0
183,346,296,1
184,347,177,1
185,348,125,1
186,349,297,0
187,357,303,0
188,358,304,1
189,359,77,1
190,364,306,0
191,365,307,0
192,367,214,1
193,371,312,1
194,372,313,0
195,374,237,1
196,375,316,0
197,376,317,0
198,379,103,0
199,151,318,1
200,380,125,1
201,381,319,0
202,152,321,0
203,389,325,0
204,393,329,0
205,395,331,0
206,396,72,1
207,397,332,1
208,109,333,1
209,399,335,0
210,404,302,0
211,406,341,1
212,407,87,1
213,409,342,1
214,410,343,0
215,411,41,0
216,412,29,1
217,413,88,1
218,416,345,0
219,418,347,1
220,419,348,0
221,420,130,1
222,422,350,0
223,424,94,1
224,425,165,0
225,427,351,0
226,429,353,0
227,139,77,1
228,430,354,0
229,434,14,1
230,211,194,1
231,435,357,0
232,438,360,0
233,441,362,0
234,443,339,1
235,444,49,0
236,445,350,0
237,446,174,1
238,449,365,1
239,50,366,0
240,452,368,0
241,453,369,0
242,454,370,0
243,455,371,0
244,459,375,1
245,124,14,1
246,466,382,0
247,331,384,0
248,469,385,1
249,470,386,0
250,471,186,1
251,472,132,1
252,473,387,0
253,474,389,0
254,475,390,1
255,477,392,0
256,478,393,0
257,482,138,0
258,486,399,0
259,488,400,1
260,490,402,1
261,496,406,0
262,502,411,0
263,505,413,0
264,507,415,0
265,383,357,1
266,512,72,1
267,52,153,1
268,515,421,0
269,517,422,0
270,519,290,1
271,522,425,0
272,413,77,1
273,525,427,0
274,526,77,1
275,527,428,0
276,354,429,1
277,530,430,0
278,531,431,0
279,533,432,0
280,536,435,0
281,45,438,0
282,541,440,0
283,543,442,0
284,544,443,0
285,548,92,1
286,549,443,1
287,550,252,1
288,555,343,0
289,556,114,1
290,557,449,0
291,558,147,1
292,559,450,0
293,560,451,0
294,562,453,1
295,566,77,1
296,567,456,0
297,167,87,1
298,568,457,0
299,396,253,1
300,571,248,1
301,574,411,1
302,576,462,1
303,578,465,0
304,579,466,1
305,580,273,1
306,309,147,1
307,585,140,1
308,586,469,1
309,587,470,0
310,588,471,0
311,590,472,0
312,591,370,0
313,593,473,0
314,439,190,0
315,596,476,1
316,413,479,1
317,599,480,1
318,451,481,0
319,600,482,0
320,337,92,1
321,602,484,0
322,603,485,0
323,604,486,0
324,606,27,1
325,607,487,0
326,608,195,1
327,610,488,0
328,613,297,0
329,258,29,1
330,619,90,0
331,621,299,1
332,622,495,0
333,57,136,1
334,623,496,0
335,624,132,1
336,396,499,0
337,625,77,1
338,627,500,0
339,628,501,0
340,629,502,0
341,630,503,0
