,smiles,sequence,interactions
0,9,8,1
1,10,9,1
2,14,13,0
3,15,14,0
4,16,15,1
5,20,19,1
6,23,22,1
7,25,24,0
8,27,26,0
9,29,28,1
10,30,29,0
11,34,25,0
12,35,33,0
13,37,35,1
14,38,36,0
15,40,38,1
16,41,39,1
17,43,40,1
18,44,41,0
19,45,42,0
20,46,43,0
21,47,44,0
22,48,45,0
23,50,39,1
24,53,47,1
25,54,48,0
26,58,52,0
27,62,56,0
28,64,47,1
29,65,58,1
30,66,59,0
31,67,60,0
32,68,38,1
33,69,40,1
34,71,62,0
35,72,63,1
36,74,52,0
37,77,67,1
38,79,69,1
39,83,7,0
40,85,72,0
41,88,74,1
42,89,75,1
43,91,0,1
44,93,77,0
45,94,78,1
46,95,79,0
47,96,80,1
48,99,52,0
49,100,82,1
50,101,83,1
51,102,33,1
52,103,84,1
53,105,86,1
54,108,0,0
55,109,77,0
56,112,40,1
57,113,88,1
58,114,89,0
59,115,90,1
60,116,91,1
61,118,3,0
62,120,93,1
63,123,0,0
64,124,96,0
65,126,98,1
66,127,99,1
67,128,39,1
68,130,52,0
69,132,35,1
70,134,102,0
71,138,105,1
72,140,102,0
73,143,39,1
74,144,108,1
75,145,77,0
76,146,75,1
77,148,40,1
78,152,112,0
79,153,113,1
80,157,115,0
81,159,116,1
82,160,117,0
83,162,118,0
84,163,119,0
85,167,121,1
86,174,125,0
87,175,52,0
88,176,126,1
89,178,127,0
90,179,128,0
91,182,106,1
92,185,35,1
93,187,132,0
94,89,133,0
95,189,135,1
96,190,3,0
97,193,135,1
98,195,137,0
99,197,139,1
100,199,140,1
101,203,13,0
102,207,39,1
103,211,39,1
104,212,147,0
105,213,148,1
106,214,149,0
107,219,153,1
108,220,154,0
109,222,155,0
110,223,156,0
111,224,3,0
112,228,160,1
113,232,163,0
114,233,164,1
115,234,48,0
116,236,166,1
117,239,169,0
118,240,170,1
119,243,173,1
120,245,7,0
121,249,43,0
122,250,3,0
123,252,177,1
124,254,179,1
125,258,77,0
126,259,52,0
127,260,181,0
128,261,182,0
129,262,40,1
130,264,19,0
131,268,186,0
132,270,188,0
133,272,189,1
134,274,190,0
135,275,191,1
136,280,194,1
137,281,3,0
138,283,165,1
139,284,195,1
140,285,196,0
141,288,199,0
142,289,48,0
143,292,201,0
144,295,203,0
145,296,67,1
