,smiles,sequence,interactions
0,0,0,0
1,4,4,0
2,5,5,1
3,6,6,0
4,7,7,0
5,9,9,0
6,13,13,1
7,15,15,0
8,17,17,1
9,25,25,0
10,26,26,0
11,27,27,1
12,33,33,0
13,34,34,0
14,35,35,1
15,37,37,1
16,43,43,0
17,48,46,0
18,51,48,1
19,52,49,1
20,53,50,0
21,15,54,1
22,57,55,1
23,58,56,0
24,60,58,1
25,62,59,0
26,64,61,0
27,66,63,0
28,72,69,1
29,73,70,0
30,74,71,0
31,75,69,1
32,78,73,1
33,79,9,0
34,81,75,0
35,82,76,1
36,84,78,0
37,85,79,0
38,89,83,0
39,90,84,1
40,91,85,0
41,92,86,1
42,97,89,0
43,98,90,1
44,99,91,0
45,103,93,0
46,106,96,1
47,107,97,0
48,109,99,1
49,44,72,1
50,107,105,1
51,116,108,0
52,118,110,0
53,119,111,1
54,121,113,0
55,123,116,1
56,129,122,1
57,131,124,0
58,137,130,1
59,144,135,0
60,150,140,1
61,152,141,1
62,109,142,1
63,153,8,1
64,13,143,1
65,154,144,1
66,72,147,1
67,160,149,1
68,161,150,0
69,164,152,1
70,165,153,0
71,104,27,1
72,175,162,0
73,178,165,0
74,182,167,1
75,183,168,1
76,186,164,1
77,188,148,1
78,191,171,0
79,196,174,0
80,199,84,1
81,201,177,0
82,202,178,0
83,206,181,0
84,207,182,0
85,208,183,0
86,211,185,1
87,214,188,0
88,215,189,1
89,216,190,0
90,218,192,1
91,220,194,1
92,224,198,0
93,229,201,0
94,230,202,0
95,232,203,0
96,234,204,1
97,238,207,0
98,239,208,1
99,241,209,0
100,242,210,0
101,243,211,0
102,248,214,1
103,250,216,0
104,251,217,1
105,252,218,1
106,72,125,1
107,253,219,0
108,254,220,1
109,256,222,1
110,65,223,1
111,257,18,1
112,259,111,1
113,260,69,1
114,262,226,0
115,263,228,1
116,265,230,0
117,266,231,0
118,267,232,1
119,269,234,0
120,273,240,1
121,279,246,1
122,282,198,0
123,288,251,0
124,289,92,1
125,291,253,1
126,294,256,0
127,295,257,0
128,296,258,1
129,75,260,1
130,301,262,1
131,65,264,1
132,303,111,1
133,304,49,0
134,307,116,1
135,184,266,1
136,308,267,0
137,309,27,1
138,310,268,1
139,311,253,1
140,314,270,0
141,320,274,0
142,72,277,1
143,323,278,1
144,324,5,1
145,328,282,1
146,333,287,0
147,334,273,1
148,336,274,0
149,337,253,1
150,340,290,1
151,343,293,1
152,345,130,1
153,347,177,1
154,220,192,1
155,357,303,0
156,360,248,1
157,361,305,1
158,362,145,1
159,364,306,0
160,365,307,0
161,367,214,1
162,372,313,0
163,136,315,0
164,375,316,0
165,376,317,0
166,378,149,1
167,380,125,1
168,152,321,0
169,383,148,1
170,384,322,0
171,388,210,0
172,389,325,0
173,396,72,1
174,109,333,1
175,398,334,1
176,399,335,0
177,400,336,1
178,401,148,1
179,403,338,0
180,328,339,1
181,405,340,1
182,406,341,1
183,409,342,1
184,410,343,0
185,414,189,1
186,416,345,0
187,420,130,1
188,168,208,1
189,422,350,0
190,429,353,0
191,431,355,0
192,433,356,0
193,211,194,1
194,435,357,0
195,375,148,1
196,445,350,0
197,50,366,0
198,451,100,1
199,453,369,0
200,454,370,0
201,459,375,1
202,462,378,1
203,465,381,0
204,466,382,0
205,468,148,1
206,470,386,0
207,474,389,0
208,479,149,1
209,481,395,0
210,484,397,0
211,485,398,0
212,486,399,0
213,487,197,1
214,488,400,1
215,490,402,1
216,491,249,0
217,492,403,1
218,493,404,0
219,495,405,0
220,497,37,1
221,500,409,0
222,501,410,0
223,503,268,1
224,504,412,1
225,383,357,1
226,510,81,0
227,511,418,1
228,512,72,1
229,52,153,1
230,514,420,0
231,517,422,0
232,520,214,1
233,523,195,1
234,524,426,1
235,525,427,0
236,529,165,1
237,536,435,0
238,141,260,1
239,539,439,0
240,542,441,0
241,547,417,1
242,548,92,1
243,557,449,0
244,558,147,1
245,511,159,1
246,559,450,0
247,560,451,0
248,65,452,1
249,561,147,1
250,564,455,0
251,396,253,1
252,571,248,1
253,573,460,1
254,576,462,1
255,577,463,0
256,25,464,1
257,578,465,0
258,580,273,1
259,582,467,0
260,309,147,1
261,583,468,1
262,585,140,1
263,587,470,0
264,588,471,0
265,590,472,0
266,592,208,1
267,593,473,0
268,595,475,1
269,596,476,1
270,413,479,1
271,451,481,0
272,600,482,0
273,601,483,0
274,337,92,1
275,605,334,1
276,606,27,1
277,608,195,1
278,611,208,1
279,267,214,1
280,614,489,0
281,62,208,1
282,620,494,0
283,622,495,0
284,57,136,1
285,65,497,1
286,396,499,0
287,630,503,0
288,102,506,0
289,350,405,1
